файл,статья,вердикт,что не так,подсказка (+),подсказка (-)
Access_Denied_CPAL.png,Передовая система блокировки оружия,minor,"голова уменьшилась, аниме-пропорции потеряны, кожа в веснушках и порах, огонь слева погас","big anime-proportioned head, smooth clean skin, orange fire glowing behind her on the left, same framing","freckles, moles, pores, small head, dull dark background"
AI_Hooded_CPAL.png,Таинственная Незнакомка,ok,в порядке — подсказка для неё уже была,,
AI_Lokk_Scav1.png,Сортировка найденного утиля,bad,"голая грудь прикрыта топом, оранжевые светящиеся глаза погасли, узкий переулок стал широкой улицей с кашей из вывесок","grinning bare-breasted lokknaar girl, glowing orange eyes, pointed ears, red mohawk, narrow dark rainy alley, one dim neon sign","crop top, covered chest, normal eyes, neutral face, wide cyberpunk street, many neon signs, garbled lettering"
AI_Lokk_Scav2.png,Торговля с Хтонью,bad,"зелёный светящийся прибор перестал светиться, глаза тоже, тёмные руины стали солнечной зеленью, кожа мокрая","orange-haired pointed-ear scavenger, glowing yellow eyes, a bright glowing green gadget in his hands, dark dim ruined interior","dull unlit device, normal dark eyes, daylight, sky, green foliage, wet dewy skin, water droplets"
AI_Loknar_Assassin.png,Локк'Наары и Нарлоки,bad,"эльфийские уши и зелёные глаза пропали, голый торс закрыт кирасой, светящийся синий клинок стал обычным мечом","long pointed ears, glowing green eyes, bare torso under a purple hooded cloak, glowing blue blade, dark purple wasteland","metal breastplate, covered chest, human ears, plain steel sword, boots, green foliage, lit background"
AI_Wild1.png,Сила Обезъян,bad,"на голую охотницу надели лиф и трусы, добавили колчан, туманный синий лес стал ярко-зелёными джунглями","fully nude orange-haired pointed-ear huntress holding a bow, a bison behind her, dark misty blue forest","bra top, loincloth, briefs, quiver of arrows, bright green jungle, wet shiny skin"
Akimbo_Lady.png,ПИСТОЛЕТЫ,bad,"статья «PISTOLS SUMMARY», а пистолет в руке заменён вторым мечом; кадр приближен","a metal pistol raised in her right hand and a curved sword in the left, purple sky, same framing","two swords, second sword, missing gun, zoomed in"
AlienShields.png,Щиты Звездных Богов,bad,светящийся энергощит заменён металлическим жезлом с настоящим человеческим глазом,"a soft glowing iridescent energy shield bubble in space, a pale light beam striking it, no solid object","metal staff, rivets, engraving, ornate handle, human eyeball, iris, veins"
Animatrons.png,Аниматроны,bad,"большому роботу за стойкой пририсовали человеческое бородатое лицо, на полу выросли растения","a large faceless boxy-headed robot behind the bar, a small gold round-headed robot in front, dark bar interior","human face, beard, skin, added plants, leaves, foliage"
AnnihilatorGal_FG_392_CPAL.png,Производство силовой брони,minor,чистая красная броня заросла мхом и листьями,"clean smooth red power armour, white-haired red-eyed girl, dark rubble cave behind her","green moss, leaves, vines, plant growth on the armour, rust"
Apostate.png,Отступник Апокалипсиса,bad,"оранжевый ядерный гриб стал луной, жёлто-зелёные глаза — красными, синие костяные руки — обычными","a dark silhouetted man in a top hat, green face, glowing yellow-green eyes, blue bony hands raised, a huge orange mushroom cloud behind him","moon, ruins, red eyes, human flesh hands, detailed leather jacket"
Aqua_Plastics.png,Аквапластик,bad,схема молекулы на фиолетовой сетке заменена бойцом с винтовкой в руинах,"an abstract white ball-and-stick molecule diagram on a dark purple grid, faint schematic shapes, no people at all","person, soldier, armour, rifle, ruins, plants, any figure"
Area_Asia.png,Знания о мире: Азия,bad,"розовое неоновое зарево города выцвело в серый туман, на крышах выросли растения","a dense asian megacity canyon lit by a strong pink magenta glow, warm neon windows, colourful lit skyline","grey desaturated fog, drained colour, added green plants, vegetation on rooftops"
Area_Murrica.png,Знания о мире: Америка,bad,"стена огня и пыли за посёлком исчезла, горячий свет стал холодной лунной ночью, кожа в порах","towering orange flames and a dust plume blazing behind the shanty village, hot orange firelight on both gunmen, dark smoky sky","night sky, blue moonlight, cold tones, clear weather, skin pores, moles, freckles"
Area_South.png,Знания о мире: Южные анклавы,bad,"в пустые джунгли добавлены две крупные бронированные фигуры, луч тарелки позеленел","an empty dark purple-blue jungle valley, a hovering disc casting a pale blue-white beam, only tiny distant torch flames, nobody in the foreground","added people, two figures, foreground characters, green beam, green glow"
Astronaughty_CPAL.png,Космощельцы,bad,"гладкое тёмное забрало и серая броня покрылись жёлтой крапиной и зелёными пятнами, фон стал ночным берегом","a clean smooth dark glass dome visor, plain bare grey-white armour plates, a small orange triangle decal, pale washed-out hazy background","yellow speckles, dots, green camo blotches, lichen, rust stains, cobblestones, dark night sky"
Aurora_Apparition_CPAL.png,Аврора - Повешенная Принцесса,bad,"убраны обе HUD-панели (портрет справа вверху и скан с таймером 03:37 слева внизу), голое тело одето в купальник","a nude pale white-haired woman with a shadowed featureless face in a dark corridor, the red-stat portrait panel top right, the green body-scan panel with the red 03:37 timer bottom left","swimsuit, leotard, clothing, covered body, missing hud panels, missing timer, clear detailed face"
Aurora_Gnome.png,Освободить Аврору,bad,"полярное сияние — то, о чём вся статья — заменено красным закатом, белый мундир стал чёрным кожаным плащом","huge green and purple aurora curtains filling the night sky, a girl in a white belted uniform coat with long silver hair gazing up from the railing","red sunset, orange clouds, black leather coat, necktie, missing aurora"
Aurora_Pirate_FG_364_CPAL.png,Красноглазая малявка,bad,"кожа в сухих трещинах, красные глаза стали карими, задорная девчонка — угрюмой взрослой","smooth clear tanned skin, bright red eyes, a cheeky grin, a young slim girl, white hair, pink skull bandana, pink frilled skirt, katana","cracked skin, crazing, scales, dry texture, brown eyes, sullen adult face, wrinkles"
Beastmen_Taming_CPAL.png,Окультуривание Зверолюдей,bad,"на голую грудь надет чёрный топ, тёплый красный бар стал холодным лунным, розовый коктейль побелел","a warm red-lit bar with red wallpaper and red patterned carpet, a topless woman in black gloves and thigh boots on a stool holding a pink cocktail","blue moonlight, cold teal light, crop top, covered torso, clothed chest, white drink"
BeastmenScience.png,!Торговцы органами!,bad,"белая операционная и окровавленный стол заменены тёмными заросшими руинами, кремовый кот стал полосатым тигром","a blindingly bright white sterile operating room, a girl in a navy coat leaning over a blood-covered operating table, a pale cream cat-headed beastman in a white coat with orange eyes and a syringe","dark ruins, moss, vines, stone rubble, night, outdoors, orange striped tiger"
Big_Cat.png,Верховая езда,bad,"песочная львица превратилась в полосатого тигра, ночь стала днём, луна уменьшилась","a woman riding a plain tan lioness with no stripes, canyon at night, a big pale moon","tiger, stripes, striped fur, bright daylight"
BloodDogPed.png,Клички для Гончих,bad,"лысый красный мутант-пёс стал пушистым тигром с усами и стальным наплечником, прозрачный фон закрашен","a hairless red-orange mutant hound in profile, huge bare bony skull, head lowered, bare skin, cut out on an empty transparent background","tiger, big cat face, whiskers, fur, stripes, mane, steel armour plate, ground, rocks, painted background"
BlueWitch_FG_32_CPAL.png,Ведьма-Ангел,bad,"голая грудь закрыта тёмным боди, светящиеся фиолетовые глаза стали обычными","a bare-breasted muscular blue-haired witch, blue hood and cloak, gold collar, black thong and gloves, glowing violet eyes, an icy glowing sword, white mist","leotard, bodysuit, swimsuit, covered torso, clothing, plain eyes"
Brainer_Ritsuko.png,Что делать?,bad,плоский планшет в руках превратился в катану — учёная на брифинге выглядит мечницей,"a nude young scientist with a short blonde bob seated on a stool, holding up a flat glowing data tablet and reading it, a white lab coat draped over the chair","sword, katana, blade, weapon, hilt, older woman"
Brainer_Ritsuko_Pinup.png,Душевный разговор с Три-Л,bad,"блондинка стала мускулистым мужчиной, добавлена кожаная портупея, пастельный фон — тёмный пол","a blonde young woman lying on her back, bare breasts, an open white shirt, black shoes, a soft pastel lilac background","male body, flat male chest, abs, leather harness, dark grey floor"
C_004.png,#004,bad,"мускулистая девушка превратилась в мужчину-бодибилдера, простыни заменены зелёной стеной","a muscular young woman with breasts, short light hair, lying back on white bed sheets","man, male bodybuilder, flat male chest, beard, green wall"
C_018_CPAL.png,#018,bad,"голая фигура одета в фартук и ремни, кожа в веснушках, шрам на животе исчез, оранжевый свет холодильника стал белым, вывеска — кашей","a nude red-haired woman with a blue hairband inside a fridge, the whole scene bathed in orange-red light, a cross scar on her belly, open mouth","apron, straps, clothing, freckles, pores, white neutral lighting, garbled sign text"
C_042.png,#042,bad,женщина на жиме лёжа стала мужчиной — груди и белого топа нет,"a muscular woman bench pressing, large breasts, white bikini top straps, black shorts, black gloves, dark hair, a strained face","man, male bodybuilder, flat male chest, male face"
C_069.png,#069,bad,"женщина сверху стала мужчиной, красный плащ и меховое логово заменены мхом и лианами, кожа в трещинах","a nude woman with breasts lying on a dark-skinned lover, a dark red cloak and a curved gold-hilted sabre, a brown fur cave","male torso, male face, cracked scaly skin, green moss, hanging leaves, straight broadsword"
C_073_CPAL.png,#073,bad,"M16 превратилась в фантастическую пушку, добавлен серый дым, клыкастая гримаса стала спокойным лицом","a red-winged demon girl in black armour firing an m16 assault rifle, the whole scene lit only by orange fire, a fanged grin","grey smoke clouds, sci-fi cannon, cold grey tones, calm human face"
C_074_CPAL.png,#074,minor,"исчезла повязка на глазу, широкая улыбка стала закрытой, каре — длинными волосами","a red-haired gal with a black eyepatch over one eye, a short bob, a wide toothy grin, v-sign, dark leotard on a metal deck","no eyepatch, long hair, closed mouth"
C_104.png,#104,bad,"две пиратки на танке стали бородатыми мужиками, красный плащ пропал, почти чёрная техника побурела","two slim female pirates riding the tank, the front one in a white top, the rear one in dark armour with a red cloak, near-black machines, an orange dusty sky","male soldiers, bare muscular arms, brown rusty tanks, grey washed-out sky"
C_199.png,#199,bad,"девушка без топа стала длинноволосым мужчиной, огненно-оранжевая комната — пустым серым фоном","a topless woman with short black hair and glowing orange eyes hugging a white-haired armoured soldier, a fiery orange room, a lit sign above","man, male chest, long hair, plain grey studio background, cracked skin"
CA_13_CPAL.png,ХИЩНИК,bad,"на крыло добавлен вооружённый человек, ночное небо стало ярко-фиолетовым, корпус в ржавых потёках","a purple delta-wing interceptor alone in a dark blue night sky, a pale cyan engine exhaust glow, a clean smooth hull","any person, pilot standing on the wing, rifle, bright purple nebula, rust streaks, smoke trails"
CA_17_CPAL.png,КИТОБОЙ,bad,"на корпус корабля добавлен человек в плаще, бело-синее свечение кромок стало оранжево-золотым","a sleek white arrowhead craft alone in black space, white-blue glowing edges, a blue nebula behind, no crew visible","any person, figure on the hull, coat, orange gold glow"
CA_19.png,М-ВИНГ,minor,"простой серый истребитель стал серебристым с оранжевыми панелями, сопла заменены блоками двигателей, надпись на носу пропала","a plain dark grey jet fighter, smooth unpainted panels, two round exhaust nozzles, small nose lettering, a purple sky over white clouds","orange panel lines, gold greebles, silver hull, thruster clusters, extra drop tanks"
CA_Warbike_CPAL.png,ГОНЩИК,bad,"женщина в зелёном шлеме и броне стала мужчиной в гражданской куртке, белый фон — тёмной разрушенной улицей","a young woman rider in a green helmet and a dark green armoured bodysuit astride the olive war bike, a plain white empty background","male rider, brown civilian jacket, bare head, ruined street, cobblestones, dark background"
Captain_GoldGreen_CPAL.png,Характер: развратный,bad,"на голую грудь надет оранжевый лиф, тело в тёмной крапине и трещинах","a topless woman in an orange thong and white orange-striped stockings, a black cap, smooth pale skin, a pink neon room","bikini top, covered breasts, freckles, moles, skin pores, cracked skin, sweat droplets"
Captain_GrayGreen.png,Характер: ботан,bad,"спина и ягодицы в родинках и рытвинах, лавандовая стена почернела","a nude dark-haired woman lying face down on pale bedding reading an open book, smooth clear skin, a lavender wall","freckles, moles, pitted skin, body hair, black background"
Captain_GrayGreenOnly_CPAL.png,Рациональная Кэп,bad,"кожа в крапинах и чешуе, волосы заплетены в косу, синий самоцвет на шее стал чёрной лентой, у планеты пропало кольцо","a nude woman in an open white lab coat, glasses, loose wavy brown hair, a blue gem choker, smooth skin, a ringed planet behind her","braided hair, black choker, freckles, moles, cracked scaly skin, oiled sweaty sheen, bodybuilder abs"
Captain_GrayNoGold.png,,bad,"светлый грибной сад заменён тёмной дождливой пустотой, белые перчатки и бирюзовая серьга исчезли, бант и чокер посинели","a blonde twin-tailed girl in a blue frilled dress with a teal bow, a purple choker, long white gloves, teal-white striped stockings, a pale mushroom garden behind","dark background, rain, black backdrop, bare arms, missing gloves, blue bow, blue choker"
Cave1.png,!Храмы Демонов-Богов!,bad,"в пустую пещеру добавлен рыцарь с мечом, зелёное свечение выхода стало жёлтым","an empty purple cave, nobody inside, the far opening glows pale green-white over a wet floor","person, man, knight, warrior, sword, armour, figure, silhouette, yellow glow"
Chort_CPAL.png,Создание Чертовки,bad,безликий теневой демон с двумя белыми глазами стал освещённым мужчиной в броне с перьевыми крыльями,"a faceless female shadow demon, two glowing white eyes, the body lost in darkness, a white light burst below, red murk","visible male face, man, armour, feathered angel wings, red glowing orb, lit figure"
Chryssie_2.png,Крисалид,bad,"органический хитиновый крисалид стал клёпаным киборгом с хвостом, плоский оранжевый фон — горным пейзажем","an organic dark brown chitinous chryssalid, a fanged pink maw, clawed limbs, a flat plain orange gradient backdrop, no landscape","metal armour plating, rivets, gears, robot, tail, loincloth, rocky ground, mountains, clouds"
Concealed.png,Под юбкой,bad,"тонкая женская рука и бедро стали волосатыми мужскими, кожа в трещинах, светлый фон почернел","a slim pale hairless woman's hand lifting a purple skirt over a smooth thigh with a metal gun holster, a light purple background","male hairy arm, arm hair, veins, leg hair, cracked scaly skin, black background"
CrimeLord_FG_353_CPAL.png,Ранг: Авторитет,bad,"рыжая капитанша стала мужчиной средних лет, череп на треуголке превратился в кашу","a red-haired woman pirate captain, sunglasses, cleavage in a white shirt under a black leather coat, a clear skull emblem on the tricorn, a gold hoard, a wall of fire","man, male face, stubble, flat male chest, garbled emblem, smoke"
Dark_Chamber.png,Одержимый Солдат,bad,"тёплый оранжевый зал стал холодно-синим и зарос лианами, силуэт — чисто выбритым героем в латах","a man with a rifle as a dark backlit silhouette in a warm orange lamp-lit machinery chamber, sepia brown tones","cold blue lighting, green vines, foliage, plants, brightly lit face, plate armour"
Dark_Chamber_2.png,Имп,minor,"решётчатая печь заменена открытым огнём и добавленным стеклянным баком, силуэт получил лицо и длинные волосы","a backlit dark silhouette of a man with a rifle, a barred glowing furnace cage behind him, orange fire-lit machinery","added glass tank, fully lit face, long flowing hair"
Death_Race.png,Контакты: Военачальники Дикополья,bad,"оранжевый огненный шар стал чёрным дымом, гладкая пыльная равнина — полем щебня, багги размножились","a bright orange-yellow fireball lighting a smooth pale dust flat, one tan armoured buggy with twin barrels, a teal horizon band","black smoke plume, rubble-strewn ground, duplicated extra vehicles, garbled radar trace"
